Round,Random avg,Random std dev,FIREWithoutRecency avg,FIREWithoutRecency std dev,Mitigating avg,Mitigating std dev,MitigatingWithRecency avg,MitigatingWithRecency std dev,FIRE avg,FIRE std dev
0,0.48095238095238113,5.396809691562114,0.06994047619047672,6.7360867003146065,-0.1261904761904767,4.425436558464396,0.7336309523809503,7.533601534915183,-1.0622023809523813,6.594245704142689
1,2.027380952380952,8.92444962399754,-0.25744047619047683,12.701634947773991,0.6922619047619036,8.043244840031251,2.5732142857142826,13.382637383845742,-1.1607142857142865,11.512120279781993
2,3.711904761904762,11.78136394577905,1.1068452380952376,17.165717151539937,3.3726190476190454,10.104107125148925,4.319047619047616,18.365323087824546,-0.598809523809525,13.96878820818406
3,5.38392857142857,15.973676040510073,3.454464285714285,20.933492316630698,7.033333333333329,13.366162072515536,5.3818452380952335,23.658210636107057,-0.31369047619047785,15.724220919075918
4,6.121130952380952,22.79660195457454,7.455952380952378,25.469520982515515,11.270833333333329,16.88753397790439,9.56964285714285,28.013897910137644,2.622619047619046,20.11709859536637
5,7.5354166666666655,27.619954298348965,12.078869047619046,31.056560574814192,15.937797619047611,21.887190620421723,15.36994047619047,33.87056761407423,5.769047619047617,25.28868277739365
6,8.697321428571428,31.911169678191058,15.331547619047615,36.20206400774964,20.834226190476183,26.59061973804728,22.641964285714277,40.66206396308075,11.932738095238095,29.391071832412813
7,8.442857142857141,37.89969294706567,21.44523809523809,42.428762224999886,29.889583333333327,32.40384168492606,28.853869047619042,46.790318624346085,18.252976190476186,35.82024482626082
8,8.855654761904757,44.46187336578558,28.296726190476182,48.978379346104234,39.49821428571429,38.842620870305126,37.28005952380951,53.9062237125704,26.788690476190474,43.36678388239922
9,9.903869047619043,49.49304674721056,36.46428571428571,54.65194099850094,50.23511904761904,45.538143084152225,46.22083333333332,61.12285021306626,33.70148809523809,48.02314358458437
10,11.997321428571427,54.0392756541604,47.31696428571428,60.521242186759295,62.9577380952381,52.16190953361764,56.935714285714276,67.34492007824943,43.89255952380952,54.17448972893205
11,12.383630952380948,57.81011722812263,58.247023809523796,66.96126376779203,75.95863095238094,58.004400014196726,68.13869047619048,73.18116402849684,53.29255952380953,60.2831911129256
12,13.139880952380949,64.0726091105783,67.30089285714286,70.1719169475447,87.23273809523809,64.00371481289015,79.82261904761904,79.17683374563627,63.134226190476184,67.1246353642125
13,13.608035714285709,70.16738440321687,77.87678571428572,74.4814820914052,99.29613095238096,71.84752093823091,90.1580357142857,86.63986552957672,72.70505952380952,73.27544064963833
14,14.96041666666666,74.18190888112349,89.37380952380951,77.76397992539907,113.81071428571427,77.99916805448021,101.85208333333331,92.7582302096721,85.3360119047619,77.33824689760658
15,15.039285714285711,78.26713458095318,98.63511904761904,81.77740638471813,127.54017857142858,82.22577509523427,113.82232142857143,98.47269148377686,99.15119047619046,80.11333726245024
16,16.199404761904752,82.23361123803168,107.58958333333332,86.04310604009687,141.39880952380952,88.48740603290058,130.08898809523805,101.57466128523619,112.30178571428571,83.83323735515056
17,18.149999999999988,86.79125944953635,116.81517857142853,89.46578199935648,156.29107142857143,96.4019311543409,144.64017857142855,104.66854200572611,126.41666666666667,87.78474226596772
18,19.676190476190477,90.36342342812601,127.65654761904761,91.4846729442478,169.5264880952381,100.2818556078194,158.05029761904763,110.22614275435288,139.76666666666665,91.54001670551908
19,21.075892857142854,94.13441683185779,139.04880952380952,95.36544351468042,183.19642857142856,106.28389761225591,173.54017857142853,115.78692532857222,152.4407738095238,95.60715732349905
20,23.086309523809522,100.26361524405743,151.20357142857142,99.59096696220841,198.19761904761904,112.14525394737997,188.83660714285713,120.42252320846616,165.20029761904763,99.21337273892635
21,24.088392857142857,103.76745307850258,163.4011904761905,104.36212959536205,213.32738095238096,118.31248452497647,201.75625,124.33283658188563,179.4565476190476,102.10750267644535
22,26.63839285714285,108.82827231029012,174.9559523809524,111.30177618822201,229.27827380952385,123.33099596207711,218.23184523809522,132.03237702762016,191.74583333333334,105.30347327530815
23,28.3282738095238,113.88859329804603,186.03720238095238,117.00282036110295,244.44791666666669,126.43846632996964,233.6300595238095,137.4425960624659,205.57321428571427,108.81544055465538
24,30.878869047619048,118.33535999278021,195.54940476190478,122.77852484099785,259.61577380952383,132.02512949693588,248.49791666666664,142.59884579257798,219.86815476190478,112.78435015914162
25,34.50476190476191,120.04553617729442,204.86517857142857,128.43571499778923,276.41904761904766,135.7494986285597,264.37857142857143,145.70907990671654,231.50357142857143,118.54138955708078
26,36.43988095238096,123.24896146095774,213.85535714285712,133.81896664672112,295.4946428571428,142.29070302011323,281.14285714285717,149.94923117481397,245.36398809523808,122.01613856586795
27,37.98303571428572,127.27552365468324,225.25773809523812,137.94203945347033,311.43035714285713,147.01064349787117,297.1556547619048,154.84747050830703,257.5607142857142,127.78501085031795
28,39.06785714285714,131.71671556686425,236.69077380952382,139.6214015154661,328.18690476190477,152.20436843288653,310.0410714285714,159.73744361452276,270.96875,133.14026029720503
29,40.80059523809523,134.4294303422221,248.1404761904762,145.11178322402475,341.7633928571429,157.06310125017677,323.7214285714286,166.11095751823453,285.37589285714284,138.67585676224326
30,43.00416666666667,137.67220751715791,258.8872023809524,148.44665759703912,357.38928571428585,161.8680601279867,339.5428571428572,169.9762111602753,299.50267857142853,145.69927282246678
31,45.729464285714286,141.6230032717672,270.26845238095234,154.27174178674863,375.33750000000003,167.31751610149365,357.3443452380953,174.89863358404787,312.7598214285714,154.18718852455152
32,47.590476190476195,145.89824495719657,283.5276785714285,157.88876932749614,392.3270833333333,173.77406261017148,374.2479166666667,177.83370106347144,325.5642857142857,159.1943942674196
33,48.14642857142857,149.6561300725176,297.2619047619047,161.75824932109916,410.4291666666667,179.73979332139317,389.39434523809524,183.54768020665344,338.3238095238095,165.5256473700901
34,49.52886904761905,153.2648282334548,311.2285714285714,164.50606042383555,425.2229166666667,185.0387234221322,406.00863095238094,188.00642062012486,352.425,171.9239579200698
35,49.90476190476189,157.51285513914243,324.9232142857143,166.4521244829815,442.6681547619049,190.49648079824772,422.54642857142863,194.92014084774974,367.1092261904762,176.49082858966037
36,52.49553571428571,160.92417846176755,338.0821428571428,169.98146843814072,458.6577380952381,192.559830964096,437.80386904761906,199.75124075596997,380.6675595238095,180.98572035861844
37,53.81607142857142,163.85495659885444,351.73422619047614,172.60887990913767,478.0863095238095,195.85988879058587,452.3958333333333,204.55796825348088,395.9892857142857,187.37528944160388
38,55.19226190476189,167.31228747941915,368.62291666666664,172.157020844702,495.85029761904764,200.5884492901049,468.8309523809524,211.02591491202168,410.2809523809524,194.24724624825018
39,55.064583333333324,171.31487898684333,382.20089285714283,175.96534841026468,514.1869047619049,203.21313238402595,484.5354166666667,216.5499837744995,424.92797619047616,197.96882796706993
40,54.000297619047615,174.61676508765578,395.4080357142857,179.56000648750768,529.56875,207.20781382859306,501.3422619047619,222.78677359882798,437.33869047619044,202.41800816568153
41,54.76130952380951,178.28961403332318,409.25624999999997,181.97857527993853,546.3247023809524,210.57901648140054,516.2514880952382,228.31177254348498,451.99880952380954,208.0167590834803
42,53.53303571428571,181.1198545839398,424.2026785714285,185.2592246002319,562.5681547619048,216.2746593158938,531.7380952380952,234.3481650321588,467.8791666666667,212.56072170072915
43,54.85416666666665,185.65835973017326,438.27440476190475,189.26002658132708,579.6598214285715,219.23396381193774,547.9258928571429,239.0559131317676,482.78660714285706,216.11239061850262
44,56.85238095238094,189.5201634834142,450.4702380952381,190.6655812952627,597.6508928571429,225.58648577400223,562.80625,244.02118047647937,498.41339285714287,219.31755973382508
45,56.7580357142857,192.8675073137697,463.3395833333333,195.14802599232127,615.729761904762,230.79112058001084,579.3511904761905,248.03006018430753,513.9654761904761,223.3281475198134
46,57.10416666666665,196.18104097927218,476.7889880952381,196.452987846901,632.1973214285716,236.66000082701652,594.6038690476191,252.3718331140052,529.5205357142859,227.22787785021188
47,58.36488095238094,199.90752080472456,490.3916666666667,199.06272193909678,648.48125,241.27969809323997,608.1270833333332,257.7661368503977,546.5410714285715,231.91925825624654
48,59.48422619047618,204.94406881355323,503.32113095238094,201.29347604474248,665.2148809523809,243.84007534541703,624.56875,262.3414891666118,560.9970238095236,236.34287941166528
49,60.56488095238095,207.29752223893814,515.8660714285713,204.2803010854562,681.8297619047619,247.78296702389687,641.0229166666667,266.2799810758026,575.41875,238.67362914454054
50,61.64345238095238,211.67770566351962,528.1282738095239,205.96096273688124,696.5979166666666,253.69977537735426,659.7538690476191,272.09303947723873,588.4598214285716,242.01708769860232
51,60.24851190476189,214.9880854127029,538.7375,208.53217010834655,712.3842261904763,258.4827208900863,676.0232142857142,275.37437918859894,605.1622023809525,243.8017231528918
52,62.395535714285714,217.866778005651,551.3116071428573,213.15750642361022,729.0318452380953,263.4434401760394,691.9991071428572,279.3763107732584,620.1681547619048,247.75270044535452
53,62.815178571428554,220.94550380664077,561.4565476190476,217.91284202591854,745.6619047619049,267.47214568247364,708.6574404761905,283.3624132281131,633.7848214285714,250.02928295427031
54,62.90982142857142,223.7452024983607,574.2833333333334,222.45042384210282,761.9312500000001,271.9916605613357,725.83125,286.9117368868179,649.3678571428572,254.68520885757715
55,64.02142857142857,226.87945560894065,585.2761904761903,225.65957055537027,776.3836309523809,278.16631336785247,742.3244047619047,291.19888610375864,664.6550595238095,257.49651834081646
56,64.93630952380953,229.98861007502782,597.7767857142859,230.2577934908907,792.1044642857144,283.5665818608251,757.3098214285714,294.5224481644937,681.5002976190477,261.46289331013554
57,65.27172619047619,232.85210853716129,609.8705357142856,235.837397538243,807.0598214285716,288.3742081709569,773.0898809523809,300.9737578844554,698.0095238095239,266.3430491296086
58,65.7827380952381,237.62347423991966,620.2455357142857,239.4211611229086,821.0464285714286,294.59471194311516,787.5202380952381,305.90922362952006,713.8675595238096,271.01670523438844
59,66.40059523809524,242.1579074971681,629.5217261904761,243.28090363697368,837.3366071428572,297.7151190906351,802.0699404761905,311.0147215048172,727.2589285714287,277.1504283919427
60,66.70982142857142,245.85008348061257,639.4107142857143,246.62512703380162,849.8761904761907,303.25041298426555,817.0226190476191,315.26603575903505,739.7053571428571,284.2760109041334
61,66.33303571428571,249.17839196785405,649.1008928571429,249.22947444102215,864.5654761904764,308.3432200336226,831.3505952380953,320.3790020999134,751.5785714285714,290.65608272022246
62,66.5407738095238,254.05596237976644,658.7660714285714,252.19254199313957,880.468154761905,313.3634116855078,848.1547619047618,325.93579933431437,764.8723214285715,297.0241871223684
63,66.27083333333331,257.09627387524085,668.5797619047619,255.22650774797646,894.4151785714287,316.3298012246144,861.5035714285714,330.9950087842191,780.2514880952382,302.7694473226943
64,67.03482142857142,260.77480424632427,679.0309523809522,257.3575964931252,908.8494047619049,321.00664341003716,874.5824404761904,336.1986972946038,791.4675595238095,308.5469315835131
65,67.49642857142857,264.16210891084694,689.2169642857143,260.7246559127842,922.0005952380955,324.27656368144636,889.1610119047618,339.82841545068277,806.5232142857143,316.3825642825489
66,69.01755952380952,266.5173268136025,698.2077380952381,262.89287876986737,934.8794642857143,327.79315971238174,901.3244047619046,344.95294291381373,818.6050595238095,323.4435963227816
67,71.13690476190474,269.83599848193563,707.4205357142857,267.4527399504796,950.1904761904764,330.0564048545151,914.2880952380953,350.54438039850004,830.5872023809525,328.5061810972201
68,72.52142857142857,273.39109006147214,714.738988095238,271.4353975066177,963.6636904761906,332.9378850924917,927.6377976190475,356.6155364899548,841.7538690476191,332.64966606763653
69,73.75416666666665,276.4293253932336,723.9732142857143,277.0141148261676,976.5648809523811,336.6288428171262,937.9833333333333,359.02215484473857,855.48125,337.21601485237954
70,74.80505952380952,279.5958763586489,732.8889880952381,281.28690373611977,990.0419642857144,341.7018834447327,948.65,361.8397184418114,868.173511904762,343.5147433351635
71,77.01130952380952,283.1114883979148,741.4247023809523,285.45519170906175,1000.9455357142858,345.4061625497672,958.4738095238096,366.6974810215012,881.7907738095239,345.04918232203676
72,79.65863095238093,286.11041063584156,749.4092261904761,289.8172911030514,1012.8488095238096,346.887851363026,970.9744047619048,371.7921039802457,894.7461309523809,349.7426659143054
73,81.93630952380951,291.07173169292327,759.534226190476,296.57542474580646,1022.8895833333333,350.93688344215735,981.3880952380954,374.6531604652667,908.85,354.3487839167299
74,82.77113095238096,293.4035194140052,769.2291666666666,301.730161119117,1034.2282738095241,354.64665300435564,993.2386904761904,377.6943141649378,921.4675595238095,357.64219453430417
75,84.4154761904762,295.99890468889686,778.3940476190476,307.89403056899283,1045.38125,357.94980197092843,1004.6184523809522,383.4856912769843,932.3931547619047,363.16796720242985
76,84.66369047619048,300.5747325337357,787.5824404761904,314.8527120546071,1058.4250000000002,360.44962383182957,1016.477380952381,387.31269990878076,943.7705357142856,367.45972800192544
77,85.74642857142858,304.7037035135578,795.4074404761905,318.88674456781365,1071.6717261904764,363.8507001351264,1026.805357142857,390.2192675536727,956.4818452380953,370.993898834444
78,86.68869047619049,309.2423063803105,803.7059523809525,324.21328181070254,1084.2622023809522,366.0620849404011,1039.9794642857144,393.1793368334443,968.7806547619048,376.9698065660522
79,86.49404761904762,312.95348535224605,813.2502976190476,329.36121701157697,1099.1657738095241,369.18600665711386,1052.7023809523812,397.07737951579327,980.5190476190477,382.19724486921024
80,88.6029761904762,316.41367498202743,825.0863095238095,333.1648334586697,1111.9113095238097,372.20534553376046,1064.2613095238096,400.83868052460366,993.2595238095237,388.25909176578165
81,89.37678571428572,320.4770735069293,834.5565476190475,339.02750997655664,1121.9973214285715,375.9682006562641,1077.9738095238097,403.76320785403624,1009.073511904762,393.4478831668074
82,90.31964285714287,323.2561528264173,844.125,346.0334998954388,1133.8130952380957,382.511636775917,1090.4065476190476,408.55749224205914,1020.9136904761905,399.0488746748344
83,92.35982142857144,326.67749295619046,854.789880952381,351.16733689962246,1145.9520833333333,388.993601849322,1103.0303571428572,412.6713147440012,1035.0872023809525,403.7834386208026
84,94.97976190476192,330.68381435202537,864.8083333333332,356.3836471826921,1158.6830357142858,393.64926050924987,1114.8752976190476,416.3108954409647,1048.889880952381,407.690435159874
85,96.22976190476193,335.5790743517633,875.3229166666666,362.877742715536,1171.397023809524,399.0771972209076,1127.9657738095236,418.7802214685277,1062.255357142857,412.8607278440839
86,96.1375,339.5379128095244,886.2479166666666,367.7245951990092,1185.0389880952382,404.08592954208,1142.0071428571425,422.0274573567076,1074.9178571428572,415.73933814049195
87,96.5214285714286,342.8063003101211,897.9883928571428,373.9388105809441,1198.6413690476193,409.4038699407379,1154.8952380952383,424.8767963049243,1087.0357142857142,419.4501811195886
88,98.63005952380952,346.6498163126684,908.4744047619048,380.6433767988192,1210.732142857143,415.78356034259247,1168.6267857142857,429.723806256718,1100.7330357142855,423.907879882953
89,99.39285714285715,349.6260906601029,919.8258928571429,387.4326859261552,1221.6747023809526,421.1371373957938,1183.5059523809523,434.23952024931776,1114.1092261904762,428.65441604770314
90,99.68095238095238,353.4249349367732,931.1651785714287,393.62618988087775,1236.1375,426.4634022646719,1199.2330357142855,437.92848922663336,1128.2988095238095,433.6329080527524
91,101.12916666666668,357.7682002406839,942.6845238095236,400.21395864570945,1249.2535714285716,430.9761716515922,1215.548511904762,441.371090541402,1142.1794642857142,437.93454117373585
92,102.24464285714282,360.46225206144726,953.4351190476189,406.25372677254506,1261.8752976190476,436.1638273484175,1229.6529761904762,444.87023239358945,1157.1238095238095,443.26175768328534
93,105.05446428571426,362.7774920684935,965.357738095238,411.9167994813279,1278.624404761905,440.67138030010966,1245.1559523809524,448.0248074650507,1168.8949404761906,446.45535942059746
94,106.31636904761906,365.5323496630273,975.9791666666666,417.7159900713925,1294.5538690476192,443.654344829908,1259.0827380952383,452.3003252217711,1181.2708333333335,452.2822396628163
95,107.11488095238096,370.7427278892172,987.7604166666667,424.5236450722489,1308.4083333333335,448.2579804592691,1274.3830357142858,456.2475065766248,1194.757142857143,456.58895856717686
96,108.46488095238094,374.2762186428004,1000.1193452380951,431.0566456748907,1324.8407738095239,452.15924650510055,1287.8383928571427,461.9916627052625,1207.0130952380955,460.71295940077636
97,110.30178571428573,378.8121042551511,1011.2208333333334,435.7532745184402,1340.0839285714287,457.21461044370494,1304.33125,466.2975130642742,1220.4470238095237,465.0296738091345
98,113.09791666666665,383.68715963166756,1020.6979166666667,441.4099839536649,1356.951785714286,460.5684995723522,1319.2815476190476,470.183052458165,1234.0488095238095,469.1031620451967
99,115.44494047619048,387.5458115115457,1032.9229166666667,446.5987589305004,1375.0651785714288,465.76253855496253,1332.827380952381,472.9758252447411,1245.7943452380953,472.2390357207206
100,116.43660714285716,391.1987563996886,1044.1931547619047,451.7249291886126,1393.6127976190478,470.12027638777937,1350.4854166666669,478.7873794865689,1258.388988095238,477.0418247305484
101,119.21607142857142,394.82791836144315,1054.7401785714287,455.0510890382951,1409.8761904761905,471.83685543443784,1366.9824404761905,484.83318729062665,1272.7699404761904,480.24268590521126
102,122.60446428571427,396.6637104161236,1065.0690476190478,457.4574917246937,1426.4315476190477,474.6340770048861,1384.1214285714286,490.10496463170705,1287.7104166666666,481.83834761178485
103,123.14196428571427,399.4294638900962,1076.7166666666667,460.27530827956446,1443.496130952381,477.40566965618797,1400.06875,495.30550156620455,1302.170535714286,484.0893396870342
104,123.71785714285713,402.31927748273046,1087.7568452380951,464.25809480586946,1460.99375,481.6014538441831,1416.2895833333332,501.25979286816295,1316.5252976190475,486.2399739697327
105,127.55744047619046,405.7931289780687,1099.4160714285713,467.70507135053265,1478.4895833333335,484.5184722475174,1433.5011904761907,505.9726273718658,1331.333630952381,489.72891721393245
106,128.9863095238095,407.72526717568144,1112.3583333333331,471.0888985536492,1494.7895833333332,488.75843057500146,1450.9848214285714,510.51954961732054,1344.975,493.0739961078409
107,129.29374999999996,411.28044842242736,1123.3425595238095,474.42608314445556,1512.0324404761905,494.4935987334601,1468.716666666667,513.7187490784836,1356.7565476190475,497.2342771924596
108,131.8553571428571,414.02834970239013,1134.1892857142857,477.0659216592933,1529.586607142857,497.8849858624664,1485.3979166666668,518.9850365935388,1370.455952380952,500.69964453734565
109,135.27648809523808,416.6866527507911,1146.509226190476,482.09769188890203,1545.35625,501.684765819466,1502.410119047619,524.089056588436,1383.7785714285715,506.04692162974766
110,139.45624999999995,418.43065672129666,1159.3101190476189,486.3691128246047,1562.4958333333336,504.51876418892664,1519.5089285714287,528.9899996114457,1399.3994047619049,509.7226542711349
111,141.40952380952376,421.7992153569649,1171.9270833333333,489.47922816883874,1578.7976190476193,506.81723495363303,1537.0241071428572,530.8903488004115,1411.4047619047617,513.7924221541186
112,141.81666666666663,425.08493665780526,1184.5910714285715,492.22111226192175,1594.1598214285714,510.4970795154704,1554.6562499999998,534.015679979947,1424.5946428571428,517.394242533667
113,144.72529761904758,426.23214135890635,1198.6532738095236,494.6427561318912,1609.3151785714288,513.954495807477,1570.9886904761906,541.0840357078711,1437.6002976190475,521.0247534295402
114,146.3523809523809,429.1202408021719,1211.8416666666667,496.18892138343483,1626.2026785714286,518.3497589742883,1586.688988095238,545.1484532960181,1451.8166666666666,526.7960012854209
115,148.06755952380945,430.25327150169886,1224.7877976190478,498.3724284610166,1643.344047619048,522.3495701807083,1603.3535714285713,546.6414992579927,1466.8839285714287,531.7499944063584
116,149.94196428571428,433.4222368763296,1235.6104166666669,501.28396098120623,1661.5226190476192,525.129475912514,1620.0550595238096,550.9055366540906,1481.5196428571426,535.8071133549806
117,152.11636904761903,436.19903436896107,1249.3559523809524,502.55499558775347,1679.0375,529.3397854793791,1634.3994047619046,553.6386813519149,1495.6425595238093,539.1387579148948
118,155.09613095238092,438.4960321645015,1260.6416666666667,503.9924925222383,1696.443154761905,533.502761148439,1650.9955357142856,559.8568033054156,1509.9125,543.4342492528921
119,157.71815476190477,441.24714733258276,1274.5467261904762,508.73855191822753,1713.433928571429,537.8176971256651,1666.1520833333336,566.1903570309088,1525.4011904761905,547.7124160081158
120,158.3193452380952,446.32827679551224,1287.1657738095237,512.6740344786654,1728.3154761904764,540.421861438103,1680.3208333333332,569.3582181995597,1537.56875,554.2151633066019
121,160.37083333333334,449.2055611796541,1299.4934523809527,519.2434401627028,1743.4675595238095,545.1223802442126,1695.5622023809524,574.7344698777549,1550.7985119047617,558.4982906069778
122,162.74613095238095,452.1330216942276,1312.4336309523808,523.6020065469662,1759.9752976190478,549.8638769302135,1712.311011904762,577.7691971264904,1565.5541666666666,562.4766114465476
123,163.17619047619047,455.6588519862466,1323.2410714285713,527.5474702162469,1775.0324404761905,553.8912529363989,1729.2997023809523,583.9849186808569,1579.3440476190474,566.0435450846276
124,164.24345238095233,458.0184755852826,1333.4142857142856,531.3656853596544,1791.2574404761904,560.8600244253356,1745.8124999999995,588.1973574085494,1594.800595238095,570.7746691344355
125,164.75624999999997,462.6814071907772,1342.5068452380954,534.7300889439315,1807.4991071428572,566.3564573160974,1761.6035714285717,590.8269986818357,1610.5824404761902,574.6293656131658
126,166.42529761904757,466.6533194771346,1350.9559523809526,538.4557726009303,1821.0636904761905,571.4290690291114,1778.5857142857142,594.6711855558018,1625.0032738095238,578.9317685454673
127,169.85446428571424,469.5517944949017,1358.321726190476,541.880411667802,1835.5175595238095,576.7901987384181,1793.9163690476187,597.0291389186864,1637.5940476190474,581.3506873880383
128,169.97738095238088,474.2686802556424,1367.0729166666667,546.6600965121198,1847.4785714285713,579.4438515177468,1809.1008928571428,600.048233446722,1652.6922619047618,584.651109459326
129,171.58571428571423,478.21820857915134,1376.1139880952383,549.3620134823424,1861.0967261904764,582.1689290622073,1825.43125,602.2213809671962,1666.994345238095,588.360091944938
130,173.46041666666662,480.4663133546239,1385.5354166666666,554.3857775369643,1875.403273809524,585.0276419791587,1841.204166666666,606.4979731367657,1681.3836309523806,590.9685267936535
131,175.19017857142848,484.8962368317992,1396.288392857143,557.7307330843981,1888.5229166666668,588.0809767029382,1857.5241071428572,610.9722999008966,1696.6377976190477,596.7662921094385
132,178.10624999999996,488.1829068063445,1406.4895833333335,562.3023650902478,1903.8541666666667,591.1898278573508,1872.2476190476186,614.5723332057769,1711.6157738095237,598.8618628084616
133,178.87380952380946,492.60608392946176,1414.6383928571431,567.2327429096221,1917.4285714285713,594.9771460074646,1887.2589285714287,618.1624303006942,1726.2875,601.9232356690693
134,179.941369047619,494.99626460569016,1424.4238095238093,569.0174619988342,1929.1877976190476,598.4447638743331,1902.3226190476187,623.2415158085607,1740.9869047619045,604.8813567309404
135,181.93601190476184,497.39923866813444,1433.236011904762,573.9776576266053,1942.2636904761907,601.3989099062713,1917.2041666666664,628.5593421361206,1753.561309523809,607.4812430853051
136,182.95922619047604,500.2545738242721,1442.8571428571427,578.444567644693,1957.2794642857145,605.7174537321487,1931.652976190476,635.302180297881,1766.3252976190474,611.6951560702759
137,183.1860119047618,502.7443330973905,1453.3223214285713,583.8025252366293,1971.3830357142858,608.3134158004792,1946.8782738095238,640.6438848046791,1779.7925595238096,618.4280823146793
138,185.29464285714272,506.79415693788116,1464.327380952381,588.7399357563279,1983.988392857143,610.2921266473427,1961.7386904761904,646.1790717682222,1792.578869047619,624.5985548804964
139,186.5535714285713,510.8799231481411,1475.6363095238091,591.9388149623352,1997.904761904762,612.0386934083125,1975.0988095238092,651.1133602876009,1803.6696428571427,627.8407298000179
140,187.4309523809523,513.814837700494,1485.5119047619046,596.9292051611716,2010.9866071428573,616.0087683343819,1990.6264880952378,653.2230720429462,1815.2401785714287,632.6031996165727
141,189.06130952380937,517.44651706217,1495.108333333333,601.6904091437469,2024.7625,618.9728940631347,2004.235714285714,658.2708073185277,1825.7580357142856,636.7746706260247
142,190.23928571428561,522.3879382939873,1503.9738095238095,604.3079540619545,2038.861607142858,622.3215522252989,2017.3345238095237,662.89728713731,1837.8017857142854,641.7583668162138
143,191.1613095238095,524.5903325126219,1512.9505952380953,608.2490018939518,2052.44880952381,627.1193637110977,2030.65119047619,668.7360871857392,1851.2711309523809,644.4032368588753
144,192.7779761904761,528.4713683900482,1520.314880952381,613.5626303225304,2065.762797619048,632.6688873154087,2045.9026785714286,675.285486774333,1864.3934523809523,648.975575736206
