Round,Random avg,Random std dev,FIREWithoutRecency avg,FIREWithoutRecency std dev,Mitigating avg,Mitigating std dev,MitigatingWithRecency avg,MitigatingWithRecency std dev,FIRE avg,FIRE std dev
0,6.313333333333333,5.099014338303259,7.41416666666667,9.012296422419514,5.8308333333333335,9.328553128552263,6.050833333333332,8.36261227295501,6.850000000000002,7.76234232260684
1,13.36,8.982250089296482,14.264999999999995,13.933574459636056,12.470833333333337,15.18619450264688,12.699166666666663,13.22073363761129,14.383333333333335,12.3920001075963
2,19.840000000000003,12.694003833831676,21.138333333333335,18.051508939698092,20.198333333333338,18.404970946881598,19.105833333333333,17.292901983986894,21.33,16.83886427286591
3,25.919999999999995,15.169559797319252,27.63166666666668,20.127227896006392,26.39833333333334,21.43444327089774,26.18333333333333,20.946728065897705,27.39333333333333,21.056567595144486
4,32.96666666666667,17.133000969538937,34.92,24.08293229193193,33.50083333333335,25.122933151582618,33.00333333333333,23.987147658231024,34.62000000000001,24.523992843743866
5,39.28500000000001,20.28266460141106,42.30333333333333,27.662077982923364,41.435,27.627972640463913,40.50916666666666,26.78642158351877,40.965,27.940672961751588
6,45.13749999999998,23.087680472133478,49.99,30.307941020281934,49.021666666666654,30.632704518391964,48.11500000000001,29.81217890579472,48.53083333333334,31.185804963957565
7,50.9925,24.61537416207377,58.47333333333333,33.984153537592576,56.48250000000003,33.93264579567065,56.52833333333333,33.98679935733219,56.81833333333334,35.21230723135813
8,57.30250000000003,27.657181870678325,67.9625,36.92295586947082,65.62916666666668,38.088396135028965,65.67500000000001,37.9408622434675,66.83166666666666,39.645736740117044
9,64.47666666666667,30.253024596265117,77.95749999999998,41.95188504737037,76.87416666666667,43.80993314718834,74.8675,43.44690700696912,77.69833333333332,43.39805547999179
10,70.66083333333334,32.96238071440095,88.91583333333334,46.160375240687884,88.50250000000001,48.83994793796706,86.83999999999997,49.61017016029409,89.51166666666664,48.47812295825361
11,77.20916666666668,35.75964758130159,100.83916666666664,51.03339797649944,101.23833333333332,54.85385193605116,99.86750000000002,56.34110565835175,102.00916666666666,53.94655617290752
12,83.19166666666668,38.29902994129805,114.47250000000003,57.892889369795085,115.00333333333337,61.44310706300224,112.67916666666667,62.769601437187205,115.5358333333333,60.70147868531154
13,89.52999999999999,42.42782764098738,130.59916666666675,64.9549453307188,130.01416666666668,68.82174973658805,127.80249999999997,70.58059361565961,130.7225,68.0694853368804
14,96.6433333333333,46.03134587189232,146.60166666666666,72.06983310959201,145.68583333333333,76.03806530741326,144.73499999999993,78.11748664316106,146.67916666666665,74.67447561936928
15,102.32749999999999,48.11394823316139,164.105,77.9492976413372,163.15666666666664,82.30734684367154,162.52250000000006,86.20659584603206,164.06,81.85269295780344
16,109.2266666666667,52.04924428419259,181.39166666666665,84.35071625856733,181.7866666666667,89.80155616073081,181.16500000000005,93.29275976730457,183.47500000000002,88.38493343513551
17,115.01416666666665,54.66178688205215,199.7575,89.78299327406054,201.36333333333332,97.50734838405202,200.2475,100.62844590718096,201.65833333333327,95.26832974697194
18,120.87166666666664,56.79672442628674,219.0466666666667,96.88976612911992,220.96000000000004,104.64044952970043,220.20499999999996,108.24164287730382,221.32833333333335,101.85125034687707
19,127.55833333333332,59.32556831211611,237.78666666666675,103.6108734641302,241.4283333333333,112.35328644503466,240.81500000000008,114.98639900247142,241.03166666666664,108.75813461274724
20,134.01499999999996,61.63247011293822,258.00666666666666,110.96403238587415,261.89166666666665,120.14541045240878,261.82666666666665,121.21792684619257,261.27333333333326,116.0791693318736
21,141.02083333333331,64.35180825504786,278.24333333333334,117.38034047725179,284.7275,126.52898965421589,283.5175,128.29814644510654,282.68833333333333,123.32794110960153
22,147.30416666666667,67.21139084283092,299.4049999999999,124.80002226896168,308.17,132.3485024471377,305.0216666666666,135.12473770146195,304.7841666666667,130.73169451473672
23,153.72416666666663,69.97287117658132,320.3458333333333,131.97241300794227,330.8033333333333,139.3994487873687,327.6541666666667,141.82432556834763,327.5308333333333,137.2508757839899
24,160.6625,73.32593440420655,341.63083333333327,138.93566307077774,353.56249999999994,145.73963567351885,350.6425,149.5236150732831,350.3041666666668,143.6776809027183
25,167.70166666666668,76.22112356675004,363.98333333333323,145.68434651480044,376.9291666666668,151.5231299381385,372.7533333333332,156.73458807806273,374.05333333333346,149.68820976171327
26,173.90083333333337,79.13700492131774,386.8533333333333,152.04730354947657,401.90666666666664,159.02543637383576,397.80666666666673,163.62611339066063,398.5141666666667,157.57346073648387
27,180.39083333333335,82.49088328836372,409.6975,156.7826006790755,425.9966666666667,165.69711550329149,422.93249999999995,171.14727127413786,422.94166666666666,165.69808659962789
28,186.13499999999988,85.34793151499859,433.2475,162.543474186737,451.73166666666674,173.20890007925883,447.81416666666684,177.1128814975385,447.90000000000015,171.7919350794249
29,192.285,87.6454986167446,457.45916666666665,169.08973157969837,477.2358333333333,179.95243403350605,473.3091666666668,183.9435264123959,472.99416666666656,179.34489643057714
30,199.3449999999999,90.76920711954638,482.6275,174.6586817135543,503.9133333333334,186.72990313551819,499.7200000000001,189.83024215364398,499.44083333333333,186.00796504936437
31,205.50083333333333,93.11236136831315,507.5900000000001,181.4232661025959,529.0291666666666,194.28609278765802,525.7775,196.0611982140752,525.465,193.0869502898169
32,211.4033333333334,95.32214839689671,532.3599999999999,187.22222401170455,555.2791666666667,199.6997743575897,552.8241666666668,202.96742508377764,551.8016666666667,198.8695789050927
33,217.75166666666664,97.45405646879058,558.5475000000001,192.52286733045216,582.9158333333335,205.10763053448846,581.1466666666668,209.16596418208727,578.1208333333333,205.43894710980035
34,223.24333333333325,100.36551233699089,584.6350000000001,198.866388451029,610.9316666666666,210.22216055613382,608.2075000000001,214.14194774501274,605.5058333333334,211.58495224042593
35,229.77249999999995,102.56155238914934,610.7808333333334,203.75492884461033,639.6025000000002,217.3513885984961,636.2683333333333,221.33779036049552,632.8925,217.44726325690252
36,235.1375,106.05297262911691,637.2750000000001,208.81890379784423,667.6758333333335,222.44859741603483,663.8841666666666,228.12856150796736,661.2916666666665,222.95538900441747
37,241.60000000000008,109.13099353529225,664.4491666666668,213.18503134503447,695.9258333333332,227.980967055549,693.0125,233.45073166427068,690.0766666666668,228.44571190742212
38,248.21999999999997,111.6962983197444,690.5058333333334,217.60270834998815,724.65,232.37273308917577,722.1524999999998,239.16070007220623,719.5291666666667,233.50249704975798
39,254.17749999999995,114.59647100744907,718.1216666666667,222.61087185190812,755.3491666666667,237.55472759655245,752.025,246.04409891544057,749.0683333333333,238.3043344479212
40,259.9741666666667,117.38564763265943,746.5325000000001,227.04420829463783,785.2625,243.4606731945862,782.025,251.15934489438732,777.5274999999998,242.74527610262342
41,266.13333333333327,120.15194922587725,773.62,231.27914510632195,814.775,248.21768993611684,812.0583333333336,256.55333388011155,807.855,248.24823769095858
42,272.5675,123.4582736781271,801.7616666666664,236.3561412125542,843.9741666666665,253.32717959768289,842.2366666666666,261.21004804031224,838.8100000000002,253.39805274727564
43,278.3833333333334,124.8078233837037,828.9558333333334,241.33200857284874,875.0850000000002,257.51896261893677,873.5625,266.7761140307751,868.5325,257.7541111712759
44,285.36583333333334,127.47112534969114,857.5691666666665,246.41041977342738,907.0566666666667,261.668371777884,903.8675000000003,272.2581618879098,899.8800000000005,263.10977346283937
45,292.08250000000004,130.1859478063973,886.2875,250.4968043223195,937.8924999999997,265.54579356199986,934.8841666666668,277.35473616456716,932.1108333333334,267.8683326813236
46,297.9991666666667,133.16303147155534,915.0699999999998,255.0424630276736,969.7666666666668,271.23713333538984,965.9283333333333,281.62031411498396,963.3924999999998,272.11140374471023
47,304.55916666666667,136.01270061458314,944.7033333333336,259.7039141610221,1000.8816666666667,276.04416368178806,998.6716666666666,288.111257160802,994.5550000000002,277.1344730300918
48,310.8991666666667,137.84982597065147,974.185,263.34834479365077,1033.3400000000001,281.0449055113594,1029.7691666666667,292.64329920594275,1026.6841666666667,282.2030173339065
49,317.4708333333332,140.1741058395475,1003.6833333333333,267.4214430341076,1065.3575000000003,285.7223387615346,1061.5491666666667,296.8623033179693,1058.1933333333334,286.7472007467747
50,324.00250000000005,142.54353194969755,1032.6574999999998,272.4056004036077,1096.9566666666672,289.69124080168916,1092.7408333333333,300.01416150487336,1089.7008333333333,291.4042174790601
51,330.93916666666667,145.24435880468243,1061.9708333333335,277.59190923533174,1128.065833333333,293.810239933164,1125.5500000000002,304.43842300665295,1120.7841666666668,295.04308674162803
52,338.8300000000001,148.21265124438227,1091.3974999999998,282.35583762756016,1159.8983333333335,297.87275354214216,1157.7441666666666,309.1328816906431,1152.4516666666666,299.3038213179972
53,345.3233333333334,151.53673568185081,1122.0141666666666,286.3919516552737,1192.0833333333333,303.0149322503212,1189.440833333333,312.6239971872938,1184.3208333333337,303.5805192762339
54,351.14916666666664,154.23820054140282,1149.974166666667,289.23401291769306,1223.5341666666668,307.72814556958303,1221.033333333333,316.0475717971725,1215.173333333333,307.1945371195769
55,357.81749999999994,156.92556066359404,1179.9141666666665,292.7946408238014,1255.3408333333332,313.1516267997999,1252.4941666666668,320.4405618539109,1245.753333333333,310.31896671006115
56,363.9525000000001,159.0028533134093,1208.1608333333334,296.2822292607074,1285.9025,316.1334927695806,1284.7799999999997,324.87513745027235,1275.9499999999998,313.5613207572006
57,370.13749999999993,162.14347025988025,1236.2033333333336,300.1879041903958,1317.3049999999996,320.2943993465665,1315.3708333333334,328.4106400371086,1305.3166666666664,316.5273851589394
58,376.65166666666664,164.57672850882247,1263.3508333333334,305.16692575653485,1346.7358333333332,323.7116317472579,1345.6741666666667,330.7184374049674,1334.916666666667,318.7822076320725
59,383.64250000000015,167.89992536271586,1290.6074999999996,307.41335388225883,1375.5766666666666,327.4008074296025,1375.4324999999997,334.589573093539,1362.4633333333334,322.5151115796316
60,390.5816666666666,170.67696135129404,1317.460833333333,311.0152946411068,1404.2016666666668,331.9855520366982,1402.8475,339.26610526436326,1390.0058333333334,325.98701086192756
61,396.86083333333335,174.88699319727394,1344.1941666666667,314.9165469932294,1432.9633333333334,336.13645425299796,1430.1741666666662,342.0859692032026,1417.27,328.5050878220914
62,404.43333333333334,177.8058310114341,1369.4091666666668,317.8900932199069,1458.341666666667,337.89679719635643,1456.1574999999998,344.7910619622089,1444.175833333334,330.87114071228694
63,411.1183333333332,181.30174823726574,1392.2716666666665,319.1156819852151,1484.5941666666663,340.6780643488398,1481.1258333333335,347.87126944240765,1469.3791666666666,333.02140334639995
64,418.4425,184.67141838990378,1414.8091666666667,320.9936238214519,1508.0108333333335,343.577296091554,1505.010833333333,351.3627412789064,1494.214166666667,337.30462194699555
65,425.8583333333334,187.111798873769,1435.6,323.6161069118436,1531.305,346.62479929873587,1527.915,354.2241943435447,1517.7149999999997,340.48928339719197
66,432.5841666666664,189.62860494083046,1456.385833333333,326.7025204399341,1554.571666666667,350.00533696724625,1550.9158333333328,357.37104050214157,1539.5025000000003,344.06220916931903
67,439.09166666666664,192.11561062865823,1476.6158333333335,328.33233463151834,1575.364166666667,353.26492240735166,1572.18,359.53186870413714,1561.3341666666668,346.3197556580159
68,446.80416666666673,194.30539701466807,1495.7158333333334,331.62999396185336,1595.5274999999997,356.6010833015031,1593.2575,363.31452805787524,1581.3841666666665,350.0603367923006
69,453.25999999999993,196.3536864379627,1514.5633333333328,333.8751347019155,1615.3649999999998,360.3507287043801,1614.3125,367.2534272257071,1599.5116666666665,353.14527346326537
70,459.6775000000001,199.37335140558392,1533.4649999999997,337.3349491850298,1634.8958333333335,364.1857782218133,1633.0583333333334,370.1626408680979,1618.8508333333332,357.1185084862898
71,466.24499999999995,202.47171932834908,1551.3274999999994,339.94273588539875,1654.0633333333337,368.3386411042908,1651.6916666666668,373.7153815256858,1637.5841666666665,361.34122065211585
72,472.65083333333337,205.5531578127798,1568.0116666666665,342.2995135071363,1672.4275,371.9538462454792,1669.7533333333329,378.07509182480305,1655.6024999999995,364.9439233188588
73,480.0558333333333,207.40438051364777,1583.745,344.94931115551844,1689.9166666666656,376.7705620909539,1687.2258333333336,381.5225104479055,1673.8433333333332,368.49834732781824
74,485.8591666666666,210.4142658097354,1600.4024999999997,348.2793928141998,1706.7799999999997,379.15795842014626,1706.5166666666667,385.61391196016535,1691.3300000000004,372.65431226167533
75,492.0333333333332,213.24387675200018,1616.5541666666666,352.9025606439088,1724.124166666667,384.007764180224,1722.9066666666665,391.6290476224492,1708.648333333333,376.83427080083896
76,498.5216666666667,215.32482459324356,1633.5841666666663,356.7477930020108,1741.635,388.82972320798734,1739.2749999999996,395.85942536811945,1724.575,380.52065628702877
77,505.7016666666669,218.87284841889368,1648.9600000000005,361.6524991426315,1759.3516666666665,393.3561794353814,1757.0683333333332,400.7187056090593,1742.8308333333334,385.8116146164041
78,512.3825,221.0308806180837,1666.4966666666662,365.75067553670425,1777.0950000000003,397.56913497668694,1773.8349999999998,405.34743516108085,1760.6499999999996,391.0161534919838
79,519.1133333333333,223.71254994474,1682.3533333333337,370.8287010235019,1794.475,403.0097491583382,1792.1858333333334,410.98013572316086,1778.0116666666672,395.22030662235295
80,526.7250000000001,226.94041863694338,1700.4916666666663,375.41935348650065,1813.4491666666668,408.1283983430066,1811.124166666667,416.657487189718,1796.9416666666668,399.93770391635854
81,533.6266666666667,229.62324501234625,1717.8724999999995,380.1447192819027,1832.2675,413.8549379420618,1830.4400000000003,421.4344831907116,1815.8058333333327,405.6703873434208
