Round,Random avg,Random std dev,FIREWithoutRecency avg,FIREWithoutRecency std dev,Mitigating avg,Mitigating std dev,MitigatingWithRecency avg,MitigatingWithRecency std dev,FIRE avg,FIRE std dev
0,0.4590476190476194,6.189140038952804,0.8180952380952381,7.544740622077194,0.36273809523809497,8.659467052231609,0.20940476190476148,8.29850423047141,-0.715357142857143,7.619418395926089
1,0.20857142857142918,11.64280790232065,1.9004761904761918,13.186340519789972,0.9727380952380948,14.67356333723696,0.2545238095238094,14.349587740094055,-1.6111904761904756,13.333486735937264
2,-0.3220238095238084,17.99536765828999,2.925238095238096,18.13752613372895,0.919642857142857,20.601869536902054,0.12035714285714169,19.769860177622498,-2.660833333333333,18.640407135810513
3,-0.4305952380952368,23.505926383096476,3.4015476190476215,24.85222946815802,1.6726190476190481,26.003854235299485,-0.2600000000000001,24.55303475430804,-2.2415476190476173,24.18401752485079
4,-0.5315476190476174,28.419675420992768,3.5046428571428576,31.089297960711644,1.1307142857142873,30.87575278765007,-0.7295238095238105,29.67056990488598,-2.525833333333332,29.761617155991306
5,-0.3119047619047594,33.665261597607916,4.210833333333332,36.512496833470216,0.970952380952382,35.828385409063685,-0.978333333333333,34.03969747924411,-2.2108333333333317,35.573417863870965
6,-0.6942857142857116,38.970436581862316,5.43714285714286,42.1177202266002,1.1571428571428592,41.295656499785764,-0.6679761904761904,37.89920309297017,-1.6738095238095214,41.53846675698974
7,-1.3234523809523784,44.23608321405444,7.6316666666666695,48.23172597035447,1.653333333333336,46.99353581795552,0.43476190476190424,42.38944840202175,-0.22333333333333216,46.83142843040557
8,-1.992499999999996,50.084079601133034,10.800833333333337,54.860778109569445,5.268809523809526,53.40912947291336,2.8691666666666684,47.236615662582516,2.3589285714285704,52.446189519724776
9,-1.7790476190476157,55.463807332435486,14.622976190476193,61.59904835954058,8.427261904761906,59.75985227325829,5.72607142857143,53.761231509792886,7.125,59.239251981605385
10,-2.0676190476190452,59.82926490678049,19.488333333333333,68.43064380498423,13.372857142857145,66.69730473447586,10.813928571428571,60.782755017799694,12.526666666666669,66.91144817292957
11,-2.0016666666666616,64.68674660016752,24.870476190476193,74.56509503717201,20.18321428571429,73.330998941374,16.278452380952377,68.0526092143119,19.874047619047616,74.37989121819409
12,-1.866428571428566,69.91830076171684,31.50214285714285,81.45211193563682,27.120952380952385,80.40178479054846,23.67583333333333,74.92225150206637,27.23607142857143,82.05565564316727
13,-1.691904761904758,74.90776277894358,38.66666666666667,87.50951367943047,34.846904761904746,87.72799361179945,30.912738095238097,82.35723950463428,35.122380952380944,90.13947191150643
14,-2.324404761904756,80.1872209624645,47.41833333333333,94.91902145281573,43.01238095238095,95.33878466675925,38.469999999999985,89.84576265534274,43.568452380952365,98.36561778517469
15,-2.5242857142857082,85.03417260957242,56.2125,102.0434126041944,52.28773809523809,102.24023364123427,47.21952380952381,97.51328739361962,52.89964285714285,105.78516267426625
