Round,Random avg,Random std dev,FIREWithoutRecency avg,FIREWithoutRecency std dev,Mitigating avg,Mitigating std dev,MitigatingWithRecency avg,MitigatingWithRecency std dev,FIRE avg,FIRE std dev
0,0.3449999999999994,4.049846019020696,-0.1775000000000001,6.591302191777684,-0.22166666666666715,5.300310787533543,-0.06333333333333363,5.08352622584844,0.6766666666666659,6.760370428706798
1,0.3449999999999991,7.709806345744936,-0.17083333333333411,10.817434647877983,-0.12000000000000086,9.176837690620882,-0.024166666666667388,8.754511099046782,0.7258333333333326,10.762709186249426
2,1.1866666666666652,11.069189722428249,0.4866666666666653,13.986524864231919,0.3099999999999994,12.98626453860642,0.2941666666666653,11.607377353553115,1.0024999999999984,14.619577366022286
3,2.6108333333333316,13.83265462692457,2.9124999999999988,17.778194059796338,2.594999999999999,18.015385091637643,2.609999999999999,15.754961211560559,2.896666666666665,18.517595311246847
4,3.4266666666666645,16.713304663583973,6.5466666666666615,22.659882011559056,6.9875,24.025049499891203,5.850833333333331,20.952328646106245,6.664166666666667,24.266715902537047
5,3.764999999999996,19.72961634475215,11.507499999999995,30.203667099377185,12.55583333333333,31.903694720291504,10.241666666666667,28.097743582794052,12.24416666666667,32.46000103760182
6,3.333333333333329,22.538232948579722,17.84166666666666,37.328379507643604,20.035833333333333,39.70575543398378,17.609999999999996,36.71281448244226,19.56833333333333,41.73418592712695
7,2.3824999999999976,25.68553647537418,25.972499999999997,45.575624431938515,28.30166666666667,47.23878876399022,26.540000000000006,45.45931633523174,29.141666666666673,49.46574151201348
8,2.71833333333333,29.035184068452004,35.44833333333333,53.82400626114708,38.66833333333334,55.49268592946882,36.90166666666666,53.201206622699004,38.369166666666665,57.58964389565001
9,2.4883333333333284,32.41872319954765,45.82583333333333,60.71150797579027,50.23333333333332,63.451335792786026,47.93416666666667,60.271821826206654,49.81083333333332,64.51917469614924
10,2.193333333333328,34.71081399698563,55.97916666666665,68.05252783797887,63.00833333333334,70.11007119760565,61.37083333333332,68.21617509901071,62.34333333333334,71.3808056405144
